food,chemical,measurement,amount,variance,units,num_samples,variation,part,preparation,location,method,PMID,source,Sample_preparation
garlic,Allyl methyl sulphide,mean,0.18,0.03,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459967,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,Dimethyl disulphide,mean,0.26,0.02,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459968,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,Diallyl sulphide,mean,0.14,0.01,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459969,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,Allyl methyl disulphide,mean,2.09,0.08,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459970,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,Dimethyl trisulphide,mean,0.14,0.02,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459971,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,Diallyl disulphide,mean,5.46,0.57,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459972,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,Allyl methyl trisulphide,mean,0.63,0.05,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459973,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,"3-Vinyl-4(H)- 1,2-dithiin",mean,3.89,1.66,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459974,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,Diallyl trisulphide,mean,1.88,0.18,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459975,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,"2-vinyl-4(H)-1,3-dithiin",mean,840.08,1.58,mg/100g,,,Bulb,,,Gas chromatography and mass spectrometry ,29693456,https://www.tandfonline.com/doi/full/10.1080/08941939.2018.1459976,"Dried and sliced samples mixed with 400_mL of pure methanol in a Soxhlet apparatus for 72_h. After extraction, the solvent was filtered and then evaporated in a rotating evaporator "
garlic,Dimethyl trisulfide,relative %,2.14,0.01,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
