chemical,chem_id
D-Fructopyranose,LKDRXBCSQODPBY
fructose,JCOXAIPZGMCTBN
D-Glucose,WQZGKKKJIJFFOK
myo-inositol,CDAISMWEOUEBRE
D-mannitol,FBPFZTCFMRRESA
sucrose,CZMRCDWAGMRECN
melibiose,DLRVVLDZNNYCBX
RAFFINOSE,MUPFEKGTMRGPLJ
Stachyose,UQZIYBXSHAGNOE
kynurenic acid,HCZHHEIFKROPDY
nicotinic acid,PVNIIMVLHYAWGP
nicotinamide,DFPAKSUCGFBDDF
L-tryptophan,QIVBCDIJIAJPQS
palmitoyl-oleoyl-stearoyl-glycerol,UBHYXTYXWVQROF
dipalmitoyl-oleoyl-glycerol,WPTWKBTVPNTFDZ
dioleoyl-stearoyl-glycerol,KUAVGQCMPZSJNN
distearoyl-linoleoyl-glycerol,IIXWWDDSAZIONU
palmitoyl-dioleoyl-glycerol,FXBVMSHSVOUPAO
stearoyl-oleoyl-linoleoyl-glycerol,XRMPUEGGOCLGPE
palmitoyl-oleoyl-linoleoyl-glycerol,OHXNFPWKTMHQRN
distearoyl-palmitoyl-glycerol,ZPTNDLHOVSIDDX
Triolein,PHYFQTYBJUILEZ
TRIPALMITIN,PVNIQBQSYATKKL
dipalmitoyl-linolenoyl-glycerol,MRNQPXZFJWNVMY
AFLATOXIN B1,OQIQSTLJSLGHID
AFLATOXIN B2,WWSYXEZEXMQWHT
Aflatoxin,XWIYFDMXXLINPU
AFLATOXIN G2,WPCVRWVBBXIRMA
"p,p'-DDE",UCNVFOCBFJOQAL
"p,p'-DDD",AHJKRLASYNVKDZ
Clofenotane,YVGGHNCTFXOJCH
methoxychlor,IAKOZHOLGAGEJT
heptachlor,FRCCEHPWNOQAEU
cis-Chlordane,BIWJNBZANLAXMG
gamma-Chlordan,JBZJEPYXXVKOKF
Endosulfan I,RDYMFSUJUZBWLH
aldrin,QBYJBZPUGVGKQQ
dieldrin,DFBKLUNHFCTMDC
ENDRIN ALDEHYDE,HCTWZIFNBBCVGM
Endrin ketone,IZHZFAQWVKBTSL
lindane,JLYXXMFPNIAWKQ
phenols,WJFKNYWRSNBZNX
oxalic acid,MUBZPKHOEPUJKR
citric acid,KRKNYBCHXYNGOX
malic acid,BJEPYKJPYRNKOW
protein,134825002.0
Lead,WABPQHHGFIMREM
Cadmium,BDOSMKKIYDKNTQ
theobromine,YAPQBXQYLJRXSA
caffeine,RYYVLZVUVIJVGH
OCHRATOXIN A,RWQKHEORZBHNRI
ACRYLAMIDE,HRPVXLWXLXDGHG
procyanidin dimer b3,134837208.0
Procyanidin B1,XFZJEEAOWLFHDH
(-)-Epicatechin,PFTAWBLQPZVEMU
carbohydrates,134825003.0
fat,134825001.0
Isoquercitrin,OVSQVDMCBVZWGM
quercetin,REFJWTPEDVJJIY
quercetin-3-glucuronide,134842099.0
Guaijaverin,PZZRDJXEMZMZFD
SCHEMBL3161145,DAHASNDSDHUIRW
N-Acetyl-L-glutamic acid,RFMMMVDNIPUKGG
N-Acetyl-L-aspartic acid,OTCCIMWXFLJLIA
5-HYDROXYMETHYLFURFURAL,NOEGNKMFWQHSLB
Chromium,VYZAMTAEIAYCRO
Manganese,PWHULOQIROXLJO
Cobalt,GUTLYIVDDKVIGB
Arsenic,RQNWIZPPADIBDY
Molybdenum,ZOKXTWBITQBERF
Bismuth,JCXGWMGPZLAOME
Phenethylamine,BHHGXPLMPWCGHP
"1,4-diaminobutane",KIDHWZJUCRJVML
"Pentane-1,5-diamine",VHRGRCVQAFMJIZ
histamine,NTYJJOPFIAHURM
tyramine,DZGWFCGJZKJUFP
spermidine,ATHGHQPFGPMSJY
spermine,PFNFFQXMRSDOHW
saturated fatty acids,134846594.0
unsaturated fatty acids,134846595.0
moisture,134838393.0
ash,UIESIEAPEWREMY
Calcium,OYPRJOBELJOOCE
Magnesium,FYYHWMGAXLPEAU
Potassium,ZLMJMSJWJFRBEC
phosphorus,OAICVXFJPJFONN
Iron,XEEYBQQBJWHFJM
Copper,RYGMFSIKBFXOCR
