name,InChIKey,SuperClass,Class,SubClass,ID,,In Garlic,Pesticide,Heavy Metals,Other Metals,General,,Sum
protocatechuic acid,YQUVCSBJEUQKSH-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Benzoic Acids and Derivatives,0,,139,18,11,5,13,,186
p-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Benzoic Acids and Derivatives,0,,,,,,,,
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Benzoic Acids and Derivatives,0,,,,,,,,
gentisic acid,WXTMDXOMEHJXQO-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Benzoic Acids and Derivatives,0,,,,,,,,
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Benzoic Acids and Derivatives,0,,,,,,,,
2-phenylphenol,LLEMOWNGBBNAJR-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Biphenyls and Derivatives,0,,,,,,,,
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,Benzenoids,Phenols,Methoxyphenols,0,,,,,,,,
uranium,JFALSRSLKYAFGM-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Actinide Compounds,,5,,,,,,,,
rubidium,IGLNJRXAVVLDKE-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkali Metal Compounds,,6,,,,,,,,
sodium,KEAYESYHFKHZAL-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkali Metal Compounds,,0,,,,,,,,
caesium,TVFDJXOCXUVLDH-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkali Metal Compounds,,0,,,,,,,,
lithium,WHXSMMKQMYFTQS-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkali Metal Compounds,,0,,,,,,,,
potassium,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkali Metal Compounds,,0,,,,,,,,
strontium,CIOAGBVUUVVLOB-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkaline Earth Metal Compounds,,0,,,,,,,,
barium,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkaline Earth Metal Compounds,,0,,,,,,,,
magnesium,FYYHWMGAXLPEAU-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkaline Earth Metal Compounds,,0,,,,,,,,
calcium,OYPRJOBELJOOCE-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkaline Earth Metal Compounds,,0,,,,,,,,
arsenic,RQNWIZPPADIBDY-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Metalloid Compounds,,5,,,,,,,,
antimony,WATWJIUSRGPENY-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Metalloid Compounds,,5,,,,,,,,
boron,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Metalloid Compounds,,0,,,,,,,,
bismuth,JCXGWMGPZLAOME-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Post-Transition Metal Compounds,,5,,,,,,,,
aluminium,XAGFODPZIPBFFR-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Post-Transition Metal Compounds,,0,,,,,,,,
cadmium,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,5,,,,,,,,
cobalt,GUTLYIVDDKVIGB-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,5,,,,,,,,
zinc,HCHKCACWOHOZIP-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,0,,,,,,,,
palladium,KDLHZDBZIXYQEI-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,5,,,,,,,,
vanadium,LEONUFNNVUYDNQ-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,0,,,,,,,,
tellurium,PORWMNRCUJJQNO-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Metalloid Compounds,,6,,,,,,,,
manganese,PWHULOQIROXLJO-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,5,,,,,,,,
titanium,RTAQQCXQSZGOHL-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,6,,,,,,,,
copper,RYGMFSIKBFXOCR-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,0,,,,,,,,
yttrium,VWQVUPCCIRVNHF-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,6,,,,,,,,
chromium,VYZAMTAEIAYCRO-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,5,,,,,,,,
iron,XEEYBQQBJWHFJM-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,0,,,,,,,,
molybdenum,ZOKXTWBITQBERF-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,5,,,,,,,,
mercury,QSHDDOUJBYECFT-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,5,,,,,,,,
nickel,PXHVJJICTQNCMI-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Compounds,,6,,,,,,,,
selenium,BUGBHKTXTAQXES-UHFFFAOYSA-N,Homogeneous Non-Metal Compounds,Homogeneous Other Non-Metal Compounds,,0,,,,,,,,
phosphorus,OAICVXFJPJFONN-UHFFFAOYSA-N,Homogeneous Non-Metal Compounds,Homogeneous Other Non-Metal Compounds,,0,,,,,,,,
secoisolariciresinol,PUETUDUXMCLALY-HOTGVXAUSA-N,"Lignans, Neolignans and related compounds",Dibenzylbutane Lignans,Dibenzylbutanediol Lignans,0,,,,,,,,
pinoresinol,HGXBRUKMWQGOIE-AFHBHXEDSA-N,"Lignans, Neolignans and related compounds",Furanoid Lignans,Furofuran Lignans,0,,,,,,,,
matairesinol,MATGKVZWFZHCLI-LSDHHAIUSA-N,"Lignans, Neolignans and related compounds",Furanoid Lignans,Tetrahydrofuran Lignans,0,,,,,,,,
lariciresinol,MHXCIKYXNYCMHY-AUSJPIAWSA-N,"Lignans, Neolignans and related compounds",Furanoid Lignans,Tetrahydrofuran Lignans,0,,,,,,,,
alpha-tocopherol,GVJHHUAWPYXKBD-IEOSBIPESA-N,Lipids and lipid-like molecules,Prenol Lipids,Quinone and Hydroquinone Lipids,0,,,,,,,,
beta-carotene,JKQXZKUSFCKOGQ-QAYBQHTQSA-N,Lipids and lipid-like molecules,Prenol Lipids,Tetraterpenoids,0,,,,,,,,
alpha-carotene,OENHQHLEOONYIE-JLTXGRSLSA-N,Lipids and lipid-like molecules,Prenol Lipids,Tetraterpenoids,0,,,,,,,,
lutein,KBPHJBAIARWVSC-RGZFRNHPSA-N,Lipids and lipid-like molecules,Prenol Lipids,Tetraterpenoids,0,,,,,,,,
alpha-hydroxybutyrate,AFENDNXGAFYKQO-VKHMYHEASA-M  ,Organic Acids and Derivatives,Hydroxy Acids and Derivatives,Alpha Hydroxy Acids and Derivatives,0,,,,,,,,
pyruvic acid,LCTONWCANYUPML-UHFFFAOYSA-N,Organic Acids and Derivatives,Keto Acids and Derivatives,Alpha-keto Acids and Derivatives,0,,,,,,,,
l-isoleucine,AGPKZVBTJJNPAG-WHFBIAKZSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-threonine,AYFVYJQAPQTCCC-GBXIJSLDSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
aspartic acid,CKLJMWTZIZZHCS-REOHCLBHSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
methionine,FFEARJCKVFRZRR-BYPYZUCNSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-lysine,KDXKERNSBIXSRK-YFKPBYRVSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-valine,KZSNJWFQEVHDMF-BYPYZUCNSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-cystine,LEVWYRKDKASIDU-IMJSIDKUSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-serine,MTCFGRXMJLQNBG-REOHCLBHSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-arginine,ODKSFYDXXFIFQN-BYPYZUCNSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-proline,ONIBWKKTOPOVIA-BYPYZUCNSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
l-tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
