Name,InChIKey,SuperClass,Class,SubClass,ID,,In Cocoa,Pesticides,Metabolite or external environment,Heavy Metals in Water,General,SUM
(-)-epicatechin,PFTAWBLQPZVEMU-UKRRQHHQSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavans,0,,295,16,11,8,77,330
(+)-catechin,PFTAWBLQPZVEMU-DZGCQCFKSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavans,0,,,,,,,
(e)-2-nonenal,BSAIUMLZVGUGKX-BQYQJAHWSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,Initial List Size before Cleaning:,,,507,,
(e)-2-octenal,LVBXEMGDVWVTGY-VOTSOKGWSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
"(e,e)-2,4-decadienal",JZQKTMZYLHNFPL-BLHCBFLLSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
"(e,z)-2,6-nonadienal",HZYHMHHBBBSGHB-ODYTWBPASA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
"1,3-butanediol",PUPZLCDOIYMWBV-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Alcohols and Polyols,0,,,,,,,
"1,3-di-tert-butylbenzene",ILNDSSCEZZFNGE-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,alkylbenzenes,0,,,,,,,
1h-pyrrole-2-carboxaldehyde,ZSKGQVFRTSEPJT-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
1-hydroxy-2-propanone,XLSMFKSTNGKWQX-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
1-methylpropyl acetate,DCKVNWZUADLDEH-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,Carboxylic Acid Derivatives,0,,,,,,,
1-octen-3-one,KLTVSWGXIAYTHO-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
"2,3,5-trimethylpyrazine",IAEGWXHKWJGQAZ-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
"2,3-butanediol",OWBTYPJTUOEWEK-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Alcohols and Polyols,0,,,,,,,
"2,3-butanedione",QSJXEFYPDANLFS-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
"2,3-diethyl-5-methylpyrazine",PSINWXIDJYEXLO-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
"2,3-dimethylpyrazine",OXQOBQJCDNLAPO-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
"2,4-dimethylheptane",AUKVIBNBLXQNIZ-UHFFFAOYSA-N,Hydrocarbons ,Saturated Hydrocarbons,Alkanes,0,,,,,,,
"2,4-dimethylheptene",CZGAOHSMVSIJJZ-UHFFFAOYSA-N  ,Hydrocarbons ,Unsaturated Hydrocarbons,Alkenes,0,,,,,,,
"2,5-dimethylpyrazine",LCZUOKDVTBMCMX-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
2-acetyl-1-pyrroline,DQBQWWSFRPLIAX-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyrrolines,Pyridines and Derivatives ,0,,,,,,,
2-acetyl-4-tetrahydroxybutylimidazole,CQSIXFHVGKMLGQ-BWZBUEFSSA-N,Organoheterocyclic Compounds,Azoles,Imidazoles,0,,,,,,,
2-acetylpyrrole,IGJQUJNPMOYEJY-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
2-butanone,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
"2-ethyl-3,5-dimethylpyrazine",JZBCTZLGKSYRSF-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
"2-ethyl-3,6-dimethylpyrazine",WHMWOHBXYIZFPF-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
2-ethyl-6-methylpyrazine,RAFHQTNQEZECFL-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
2-furanmethanol,XPFVYQJUAUNWIW-UHFFFAOYSA-N,Organoheterocyclic Compounds,Heteroaromatic Compounds,Furans,0,,,,,,,
2-heptanol,CETWDUZRCINIHU-UHFFFAOYSA-N,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,0,,,,,,,
2-heptanone,CATSNJVOTSVZJV-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
2-heptyl acetate,VJYWBLDDQZIGJI-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,Carboxylic Acid Derivatives,0,,,,,,,
2-isobutyl-3-methoxypyrazine,UXFSPRAGHGMRSQ-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
2-isopropyl-5-methylhex-2-enal,IOLQAHFPDADCHJ-POHAHGRESA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
2-methyl-1-butanol,QPRQEDXDYOZYLA-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Alcohols and Polyols,0,,,,,,,
2-methyl-3-(methyldithio)furan,SRUTWBWLFKSTIS-UHFFFAOYSA-N,Organoheterocyclic Compounds,Heteroaromatic Compounds,,0,,,,,,,
2-methylbutanal,BYGQBDHUGHBGMD-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
2-methyl-butanoic acid,WLAMNBDJUVNPJU-UHFFFAOYSA-N,Lipids and lipid-like molecules,Fatty Acyls,Fatty Acids and Conjugates,0,,,,,,,
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,Organoheterocyclic Compounds,Azoles,Imidazoles,0,,,,,,,
2-methylpentane,AFABGHUZZDYHJO-UHFFFAOYSA-N,Hydrocarbons ,Saturated Hydrocarbons,Alkanes,0,,,,,,,
2-methylpropanal,AMIMRNSIRUDHCM-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
2-pentanol,JYVLIDXNZAXMDK-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Alcohols and Polyols,0,,,,,,,
