pred,PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,is_useful,usefulness_tier,info_location,comment
0.91,10917927,"Procyanidins are a subclass of flavonoids found in commonly consumed foods that have attracted increasing attention due to their potential health benefits. However, little is known regarding their dietary intake levels because detailed quantitative information on the procyanidin profiles present in many food products is lacking. Therefore, the procyanidin content of red wine, chocolate, cranberry juice and four varieties of apples has been determined. On average, chocolate and apples contained the largest procyanidin content per serving (164.7 and 147.1 mg, respectively) compared with red wine and cranberry juice (22.0 and 31.9 mg, respectively). However, the procyanidin content varied greatly between apple samples (12.3-252.4 mg/serving) with the highest amounts on average observed for the Red Delicious (207.7 mg/serving) and Granny Smith (183.3 mg/serving) varieties and the lowest amounts in the Golden Delicious (92.5 mg/serving) and McIntosh (105.0 mg/serving) varieties. The compositional data reported herein are important for the initial understanding of which foods contribute most to the dietary intake of procyanidins and may be used to compile a database necessary to infer epidemiological relationships to health and disease.",The Journal of nutrition,"['D044946', 'D002099', 'D002392', 'D002851', 'D004032', 'D005504', 'D005638', 'D044945', 'D014920']","['Biflavonoids', 'Cacao', 'Catechin', 'Chromatography, High Pressure Liquid', 'Diet', 'Food Analysis', 'Fruit', 'Proanthocyanidins', 'Wine']",Procyanidin content and variation in some commonly consumed foods.,"[None, 'Q000737', 'Q000008', 'Q000379', None, None, 'Q000737', None, 'Q000032']","[None, 'chemistry', 'administration & dosage', 'methods', None, None, 'chemistry', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/10917927,2000,0,0,,no cocoa
0.9,26759032,"Children are vulnerable to heavy metal contamination through consumption of candies and chocolates. Considering this representative samples (69) of candies and chocolates based on cocoa, milk and sugar were analyzed for selected heavy metals by means of flame atomic absorption spectrometry. The average concentration of Zn, Pb, Ni, and Cd was found to be 2.52 _± 2.49, 2.0 _± 1.20, 0.84 _± 1.35, and 0.17 _± 0.22 __g/g respectively. Results indicate that cocoa-based candies have higher metal content than milk- or sugar-based candies. The daily dietary intake of metals for children eating candies and chocolates was also calculated, and results indicated highest intake of Pb and Zn followed by Ni, Cd, and Cu. Comparison of the current study results with other studies around the globe shows that the heavy metal content in candies and chocolates is lower in India than reported elsewhere. However, to reduce the further dietary exposure of heavy metals through candies and chocolates, their content should be monitored regularly and particularly for Pb as children are highly susceptible to its toxicity.",Environmental monitoring and assessment,"['D002182', 'D002648', 'D004032', 'D004781', 'D004784', 'D005506', 'D006801', 'D007194', 'D019216', 'D013054']","['Candy', 'Child', 'Diet', 'Environmental Exposure', 'Environmental Monitoring', 'Food Contamination', 'Humans', 'India', 'Metals, Heavy', 'Spectrophotometry, Atomic']",Heavy metal content in various types of candies and their daily dietary intake by children.,"['Q000032', None, 'Q000706', 'Q000032', 'Q000379', 'Q000032', None, None, 'Q000032', None]","['analysis', None, 'statistics & numerical data', 'analysis', 'methods', 'analysis', None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/26759032,2016,1,1,table 3 ,International standars were given by an agency and the paper is referenced in this paper
0.89,11513631,"At present, the commonly used HPLC method for the analysis of caffeine and theobromine contents in aqueous cocoa extracts employs direct application of the extracts on the column. This practice gradually reduces the efficiency of the column and shortens its life. Also, this method gives inflated values due to interfering substances and difficulty in achieving baseline resolution. In the improved method, the interfering cocoa pigments are effectively removed by passing the aqueous extract through a Sep-pak C(18) cartridge. Subsequent injection on a C(18) reverse-phase column employing acetonitrile and water (20:80) as the mobile phase reduces the analysis time without affecting either resolution of the peak or the accuracy of caffeine and theobromine determination or achieving baseline resolution. Therefore, this method is ideally suited for rapid routine analysis of cocoa and its products.",Journal of agricultural and food chemistry,"['D002099', 'D002110', 'D002851', 'D012680', 'D013805', 'D013997']","['Cacao', 'Caffeine', 'Chromatography, High Pressure Liquid', 'Sensitivity and Specificity', 'Theobromine', 'Time Factors']",Improved high-performance liquid chromatography method to determine theobromine and caffeine in cocoa and cocoa products.,"['Q000737', 'Q000032', 'Q000379', None, 'Q000032', None]","['chemistry', 'analysis', 'methods', None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/11513631,2001,2,1,table 1 and 2,
0.89,22394229,"This study has examined the occurrence of aflatoxins in 168 samples of different fractions obtained during the processing of cocoa in manufacturing plants (shell, nibs, mass, butter, cake and powder) using an optimised methodology for cocoa by-products. The method validation was based on selectivity, linearity, limit of detection and recovery. The method was shown to be adequate for use in quantifying the contamination of cocoa by aflatoxins B(1), B(2), G(1) and G(2). Furthermore, the method was easier to use than other methods available in the literature. For aflatoxin extraction from cocoa samples, a methanol-water solution was used, and then immunoaffinity columns were employed for clean-up before the determination by high-performance liquid chromatography. A survey demonstrated a widespread occurrence of aflatoxins in cocoa by-products, although in general the levels of aflatoxins present in the fractions from industrial processing of cocoa were low. A maximum aflatoxin contamination of 13.3 ng g(-1) was found in a nib sample. The lowest contamination levels were found in cocoa butter. Continued monitoring of aflatoxins in cocoa by-products is nevertheless necessary because these toxins have a high toxicity to humans and cocoa is widely consumed by children through cocoa-containing products, like candies.","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","['D000348', 'D002099', 'D002846', 'D002851', 'D057230']","['Aflatoxins', 'Cacao', 'Chromatography, Affinity', 'Chromatography, High Pressure Liquid', 'Limit of Detection']",Determination of aflatoxins in by-products of industrial processing of cocoa beans.,"['Q000032', 'Q000737', 'Q000379', 'Q000379', None]","['analysis', 'chemistry', 'methods', 'methods', None]",https://www.ncbi.nlm.nih.gov/pubmed/22394229,2012,1,2,table 3 ,the occurrence of aflatoxin in all cocoa by-products
0.88,10868592,"A method was developed for determining fructan inulin in various foods (yogurts, honey cakes, chocolates). Warm water was applied for extraction of samples, and mono- and dissacharides were determined by a thin-layer chromatographic densitometric method. A portion of the test solution was hydrolyzed 30 min with 1% oxalic acid in a boiling water bath. Fructose was determined in the hydrolysate. The amount of inulin in a sample was calculated as the difference between the amount of fructose in the sample before and after hydrolysis. The fructose from sucrose formed during the hydrolysis was also considered. The mean recovery from yogurt fortified with 4% inulin was 95.5 +/- 4.5% (mean +/- standard deviation); from honey cakes extract fortified with 10% inulin, 97.3 +/- 5.5%; and from chocolate extract fortified with 30% inulin, 98.6 +/- 6.6% (6 replicates in all cases). Determination of glucose is not necessary for analyzing fructans with the composition expressed shortened to GFn-1 (G, glucose; F, fructosyl) with the average degree of polymerization 8 < or = n < or = 15.",Journal of AOAC International,"['D000818', 'D002099', 'D002855', 'D005504', 'D005632', 'D006722', 'D006358', 'D006868', 'D007444', 'D008892', 'D015014']","['Animals', 'Cacao', 'Chromatography, Thin Layer', 'Food Analysis', 'Fructose', 'Honey', 'Hot Temperature', 'Hydrolysis', 'Inulin', 'Milk', 'Yogurt']",Determination of inulin in foods.,"[None, 'Q000737', None, 'Q000379', 'Q000032', None, None, None, 'Q000032', 'Q000737', 'Q000032']","[None, 'chemistry', None, 'methods', 'analysis', None, None, None, 'analysis', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/10868592,2000,,,,
0.87,23017398,"This work reports an investigation carried out to assess the natural occurrence of ochratoxin A in 168 samples from different fractions obtained during the technological processing of cocoa (shell, nibs, liquor, butter, cake and cocoa powder) and the reduction of ochratoxin A during chocolate manufacture. Ochratoxin A analyses were performed with immunoaffinity columns and detection by high performance liquid chromatography. Concerning the natural ochratoxin A contamination in cocoa by-products, the highest levels of ochratoxin A were found in the shell, cocoa powder and cocoa cake. The cocoa butter was the least contaminated, showing that ochratoxin A seems to remain in the defatted cocoa solids. Under the technological conditions applied during the manufacture of chocolate in this study and the level of contamination present in the cocoa beans, this experiment demonstrated that 93.6% of ochratoxin A present in the beans was reduced during the chocolate producing.",Food chemistry,"['D002099', 'D002851', 'D003059', 'D005506', 'D005511', 'D009793']","['Cacao', 'Chromatography, High Pressure Liquid', 'Cocos', 'Food Contamination', 'Food Handling', 'Ochratoxins']",Occurrence of ochratoxin A in cocoa by-products and determination of its reduction during chocolate manufacture.,"['Q000737', None, 'Q000737', 'Q000032', None, 'Q000032']","['chemistry', None, 'chemistry', 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/23017398,2013,1,1,table 1 and 2,
0.87,15891868,"Chocolate is a complex sample with a high content of organic compounds and its analysis generally involves digestion procedures that might include the risk of losses and/or contamination. The determination of copper in chocolate is important because copper compounds are extensively used as fungicides in the farming of cocoa. In this paper, a slurry-sampling flame atomic-absorption spectrometric method is proposed for determination of copper in powdered chocolate samples. Optimization was carried out using univariate methodology involving the variables nature and concentration of the acid solution for slurry preparation, sonication time, and sample mass. The recommended conditions include a sample mass of 0.2 g, 2.0 mol L(-1) hydrochloric acid solution, and a sonication time of 15 min. The calibration curve was prepared using aqueous copper standards in 2.0 mol L(-1) hydrochloric acid. This method allowed determination of copper in chocolate with a detection limit of 0.4 microg g(-1) and precision, expressed as relative standard deviation (RSD), of 2.5% (n = 10) for a copper content of approximately 30 microg g(-1), using a chocolate mass of 0.2 g. The accuracy was confirmed by analyzing the certified reference materials NIST SRM 1568a rice flour and NIES CRM 10-b rice flour. The proposed method was used for determination of copper in three powdered chocolate samples, the copper content of which varied between 26.6 and 31.5 microg g(-1). The results showed no significant differences with those obtained after complete digestion, using a t-test for comparison.",Analytical and bioanalytical chemistry,"['D002099', 'D003300', 'D011208', 'D012680', 'D013054']","['Cacao', 'Copper', 'Powders', 'Sensitivity and Specificity', 'Spectrophotometry, Atomic']",Determination of copper in powdered chocolate samples by slurry-sampling flame atomic-absorption spectrometry.,"['Q000737', 'Q000032', 'Q000737', None, 'Q000295']","['chemistry', 'analysis', 'chemistry', None, 'instrumentation']",https://www.ncbi.nlm.nih.gov/pubmed/15891868,2007,0,0,,no cocoa
0.86,23828209,"Ultrathin-layer chromatography (UTLC) potentially offers faster analysis, reduced solvent and sample volumes, and lower costs. One novel technique for producing UTLC plates has been glancing angle deposition (GLAD), a physical vapor deposition technique capable of aligning macropores to produce interesting separation properties. To date, however, GLAD-UTLC plates have been restricted to model dye systems, rather than realistic analytes. This study demonstrates the transfer of high-performance thin-layer chromatography (HPTLC) sugar analysis methods to GLAD-UTLC plates using the office chromatography framework. A consumer inkjet printer was used to apply very sharp low volume (3-30__nL) bands of water-soluble analytes (lactose, sucrose, and fructose). Analytic performance measurements extrapolated the limits of detection to be 3-5__ng/zone, which was experimentally proven down to 60-70__ng/band, depending on the sugar. This qualitative analysis of sugars in a commercially available chocolate sample is the first reported application of GLAD-UTLC to food samples. The potential utility of GLAD-UTLC is further exemplified by successful coupling with electrospray ionization mass spectrometry for the first time to characterize underivatized sugars. ",Analytical and bioanalytical chemistry,"['D002099', 'D002855', 'D005504', 'D005632', 'D007281', 'D007785', 'D057230', 'D011327', 'D021241', 'D013395']","['Cacao', 'Chromatography, Thin Layer', 'Food Analysis', 'Fructose', 'Ink', 'Lactose', 'Limit of Detection', 'Printing', 'Spectrometry, Mass, Electrospray Ionization', 'Sucrose']","Inkjet application, chromatography, and mass spectrometry of sugars on nanostructured thin films.","['Q000737', 'Q000379', None, 'Q000032', None, 'Q000032', None, None, None, 'Q000032']","['chemistry', 'methods', None, 'analysis', None, 'analysis', None, None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/23828209,2014,0,0,,no cocoa
0.85,21140662,"A fast and simple chromatographic method to determine biotin in foods is presented. Biotin is extracted using papain (60 degrees C, 1 h). After pH adjustment and filtration, biotin is determined by LC with fluorescence detection using postcolumn reagent avidin-FITC (avidin labeled with fluorescein isothiocyanate). The method has been validated in a large range of products: milk- and soy-based infant formulas, cereals, cocoa-malt beverages, and clinical nutrition products. The method showed recovery rates of 98.1 +/- 5.7% (average +/- SD) in a large range of concentrations. Biotin concentrations determined in infant formula standard reference materials 1846 and 1849 were in agreement with reference values. RSD of repeatability (RSDr) varied from 2.0 to 4.5%, and intermediate reproducibility (RSD(iR)) from 5.8 to 9.4%. LOD and LOQ were 3.0 and 5.0 microg/100 g, respectively. The proposed method is suitable for routine analysis of biotin in fortified foods (infant formulas, infant cereals, cocoa-malt beverages, and clinical nutrition products). It can be used as a faster, more selective, and precise alternative to the classical microbiological determination, and is easily transferable among laboratories.",Journal of AOAC International,"['D001628', 'D001710', 'D002099', 'D002851', 'D002523', 'D005453', 'D006801', 'D007223', 'D041943', 'D015203']","['Beverages', 'Biotin', 'Cacao', 'Chromatography, High Pressure Liquid', 'Edible Grain', 'Fluorescence', 'Humans', 'Infant', 'Infant Formula', 'Reproducibility of Results']","Optimization and validation of an LC-fLD method for biotin in infant formula, infant cereals, cocoa-malt beverages, and clinical nutrition products.","['Q000032', 'Q000032', 'Q000737', 'Q000379', 'Q000737', None, None, None, 'Q000737', None]","['analysis', 'analysis', 'chemistry', 'methods', 'chemistry', None, None, None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/21140662,2010,,,,
0.84,16001548,"A method using normal phase high performance liquid chromatography (NP-HPLC) with UV detection was developed for the analysis of acrylamide and methacrylamide. The method relies on the chromatographic separation of these analytes on a polar HPLC column designed for the separation of organic acids. Identification of acrylamide and methacrylamide is approached dually, that is directly in their protonated forms and as their hydrolysis products acrylic and methacrylic acid respectively, for confirmation. Detection and quantification is performed at 200 nm. The method is simple allowing for clear resolution of the target peaks from any interfering substances. Detection limits of 10 microg L(-1) were obtained for both analytes with the inter- and intra-day RSD for standard analysis lying below 1.0%. Use of acetonitrile in the elution solvent lowers detection limits and retention times, without impairing resolution of peaks. The method was applied for the determination of acrylamide and methacrylamide in spiked food samples without native acrylamide yielding recoveries between 95 and 103%. Finally, commercial samples of french and roasted fries, cookies, cocoa and coffee were analyzed to assess applicability of the method towards acrylamide, giving results similar with those reported in the literature.",Journal of chromatography. A,"['D020106', 'D000178', 'D002851', 'D013056']","['Acrylamide', 'Acrylamides', 'Chromatography, High Pressure Liquid', 'Spectrophotometry, Ultraviolet']",Determination of acrylamide and methacrylamide by normal phase high performance liquid chromatography and UV detection.,"['Q000032', 'Q000032', 'Q000379', None]","['analysis', 'analysis', 'methods', None]",https://www.ncbi.nlm.nih.gov/pubmed/16001548,2005,1,1,table 3 ,only the concentration
