PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,is_useful,usefulness_tier,fold,comments,useful_no_pdf
29693456,"After gas chromatography and mass spectrometry of prepared methanolic extract of Allium sativum, 40 laboratory BALB/c mice were infected intraperitoneally by injection of 1,500 viable protoscoleces. Five months after infection, the infected mice were allocated into four treatment groups, including 1- Albendazole (100 mg/kg); 2- Allium sativum methanolic extract (10 mL/L); 3- A. sativum methanolic extract (10 mL/L) + Albendazole (50 mg /kg); and 4- untreated control group. After 30 days of daily treatment, total number and weight of cysts and size of the largest cyst as well as blood serum bilirubin and liver enzymes were compared between the mice of different groups. The total number and weight of cysts and size of the largest cyst were significantly lower in treated groups A. sativum 10 mL/L + Albendazole 50 and Albendazole 100 in comparison to those of the control group (p < 0.05). The activity of alanine aminotransferase (ALT) enzyme and bilirubin concentration were significantly lower in the mice treated with A. sativum 10 mL/L and A. sativum 10 mL/L + Albendazole 50, when compared to the control group. In addition, bilirubin concentration revealed significant decrease in A. sativum 10 mL/L and A. sativum 10 mL/L + Albendazole 50 groups, when compared to the Albendazole group. In conclusion, administration of A. sativum 10 mL/L improved the anti-hydatidosis activity of Albendazole 50 mg /kg, due to parasitological effects similar to Albendazole 100 mg /kg but less hepatotoxic effects.",Journal of investigative surgery : the official journal of the Academy of Surgical Research,[],[],Allium Sativum Methanolic Extract (garlic) Improve Therapeutic Efficacy of Albendazole Against Hydatid Cyst: In Vivo Study.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/29693456,2018,1.0,1.0,,,
29653182,"Meju, a cooked and fermented soy bean based food product, is used as a major ingredient in Korean traditional fermented foods such as Doenjang. We developed a novel type of Meju using single and combined extracts of Allium sativum (garlic clove), Nelumbo nucifera (lotus leaves), and Ginkgo biloba (ginkgo leaves) at 1% and 10% concentrations to improve the safety of Meju-based fermented products. Biogenic amines (BAs) in protein-rich fermented food products pose considerable toxical risks. The objective of this study was to investigate the effects of adding selected plant extracts in Meju samples during fermentation. Nine BAs, including tryptamine, 2-phenylethylamine, putrescine, cadaverine, agmatine, histamine, tyramine, spermidine and spermine, were isolated from Meju samples after sample derivatization with dansyl chloride and analyzed by high performance liquid chromatography. As a result, all tested Meju samples with added plant extracts showed total BAs levels in the range of 20.12 ± 2.03 to 118.42 ± 10.68 mg/100 g, which were below the safety limit set by various regulatory authorities (USFDA/KFDA/EFSA). However, among all tested Meju samples, LOM10 (Meju fermented with Nelumbo nucifera at 10% concentration) showed higher levels of BAs content than others either due to batch-to-batch variability or reduced beneficial microorganisms and/or due to increase in BA forming microorganisms. Also, none of the samples showed the aflatoxin level above the detection limit. Furthermore, all the tested Meju samples improved microbial safety as confirmed by the complete absence of Salmonella species and Staphylococcus aureus. However, some of the Meju samples showed the presence of coliforms (in range of 1.6 × 10",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"['D001679', 'D002851', 'D005285', 'D005516', 'D059022', 'D005737', 'D020441', 'D057230', 'D031653', 'D010936', 'D045730', 'D013056']","['Biogenic Amines', 'Chromatography, High Pressure Liquid', 'Fermentation', 'Food Microbiology', 'Food Safety', 'Garlic', 'Ginkgo biloba', 'Limit of Detection', 'Nelumbo', 'Plant Extracts', 'Soy Foods', 'Spectrophotometry, Ultraviolet']","Detection of biogenic amines and microbial safety assessment of novel Meju fermented with addition of Nelumbo nucifera, Ginkgo biloba, and Allium sativum.","['Q000032', None, None, None, None, None, None, None, None, 'Q000494', 'Q000382', None]","['analysis', None, None, None, None, None, None, None, None, 'pharmacology', 'microbiology', None]",https://www.ncbi.nlm.nih.gov/pubmed/29653182,2018,0.0,0.0,,,
29542139,"Allicin and soluble solid content (SSC) in garlic is the responsible for its pungent flavor and odor. However, current conventional methods such as the use of high-pressure liquid chromatography and a refractometer have critical drawbacks in that they are time-consuming, labor-intensive and destructive procedures. The present study aimed to predict allicin and SSC in garlic using hyperspectral imaging in combination with variable selection algorithms and calibration models.",Journal of the science of food and agriculture,"['D000465', 'D002138', 'D002623', 'D005737', 'D016018', 'D008962', 'D013057', 'D013441', 'D060388']","['Algorithms', 'Calibration', 'Chemistry Techniques, Analytical', 'Garlic', 'Least-Squares Analysis', 'Models, Theoretical', 'Spectrum Analysis', 'Sulfinic Acids', 'Support Vector Machine']",Hyperspectral imaging for predicting the allicin and soluble solid content of garlic with variable selection algorithms and chemometric models.,"[None, None, 'Q000379', 'Q000737', None, None, 'Q000379', 'Q000737', None]","[None, None, 'methods', 'chemistry', None, None, 'methods', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/29542139,2018,0.0,0.0,,,
29498844,"We analyzed aged garlic extract (AGE) to understand its complex sulfur chemistry using post-column high-performance liquid chromatography with an iodoplatinate reagent and liquid chromatography high resolution mass spectrometry (LC-MS). We observed unidentified peaks of putative sulfur compounds. Three compounds were isolated and identified as γ-glutamyl-γ-glutamyl- S-methylcysteine, γ-glutamyl-γ-glutamyl- S-allylcysteine (GGSAC) and γ-glutamyl-γ-glutamyl- S-1-propenyl-cysteine (GGS1PC) by nuclear magnetic resonance and LC-MS analysis based on comparisons with chemically synthesized reference compounds. GGSAC and GGS1PC were novel compounds. Trace amounts of these compounds were detected in raw garlic, but the contents of these compounds increased during the aging process. Production of these compounds was inhibited using a γ-glutamyl transpeptidase (GGT) inhibitor in the model reaction mixtures. These findings suggest that γ-glutamyl tripeptides in AGE are produced by GGT during the aging process.",Journal of agricultural and food chemistry,"['D002851', 'D005638', 'D005737', 'D010455', 'D010936', 'D013457', 'D053719']","['Chromatography, High Pressure Liquid', 'Fruit', 'Garlic', 'Peptides', 'Plant Extracts', 'Sulfur Compounds', 'Tandem Mass Spectrometry']",Isolation and Identification of Three γ-Glutamyl Tripeptides and Their Putative Production Mechanism in Aged Garlic Extract.,"[None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', None]","[None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/29498844,2018,0.0,0.0,,,
29433241,"Complexes of amylose (Am) with garlic bioactive components (GBCs) were prepared by milling activating treatment of Am and garlic paste (GP) together. The complex, produced by milling for 2.5h with the garlic (dry basis)/Am ratio of 1:5 (w/w) and water content of 25% (w/w) exhibited significantly higher allicin content (0.49mg/g of complex) than others. The scanning electron microscopy (SEM), X-ray diffraction (XRD), Fourier transforms infrared (FT-IR), differential scanning calorimetry (DSC), thermogravimetry analysis (TGA), high performance liquid chromatography (HPLC), and gas chromatography-mass spectrometry (GC-MS) techniques were used complex characterization. XRD results indicated that the Am and garlic bioactive components formed the V-type structure. FT-IR and DSC analysis further confirmed the formation of the Am-GBCs complex, and its thermal stability was improved in comparison with garlic powder. According to GC-MS results, all organosulfur compounds (OSCs) in fresh garlic were better retained to Am-GBCs complex. Therefore, the Am-GBCs complexes can have important applications as stable natural flavor compound systems.","Food research international (Ottawa, Ont.)",[],[],Physicochemical characteristics of complexes between amylose and garlic bioactive components generated by milling activating method.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/29433241,2018,2.0,1.0,,,
29318305,"In the present research, the applicability of stable isotope (δ13C, δ15N, δ34S, δ18O) and multi-element (P, S, Cl, K, Ca, Zn, Br, Rb, Sr) data for determining the geographical origin of garlic (Allium sativum L.) at the scale of Slovenia was examined. Slovenia is a rather small country (20273 km2) with significant geological and biological diversity. Garlic, valued for its medicinal properties, was collected from Slovenian farms with certified organic production and analyzed by elemental analyzer isotope ratio mass spectrometry combined with energy dispersive X- ray fluorescence spectrometry. Multivariate discriminant analysis (DA) revealed a distinction between four Slovenian macro-regions: the Alpine, Dinaric, Mediterranean and Pannonian. The model was validated through a leave-10%, 20% and 25% out cross validation. The overall success rate of correctly reclassified samples was 77% (on average), indicating that the model and the proposed methodology could be a promising tool for rapid, inexpensive and robust screening to control the provenance of garlic samples.",Acta chimica Slovenica,"['D004602', 'D005737', 'D005843', 'D007554', 'D013058', 'D017524', 'D013052']","['Elements', 'Garlic', 'Geography', 'Isotopes', 'Mass Spectrometry', 'Slovenia', 'Spectrometry, X-Ray Emission']",Geographical Origin Characterization of Slovenian Organic Garlic Using Stable Isotope and Elemental Composition Analyses.,"[None, 'Q000737', None, 'Q000032', None, None, None]","[None, 'chemistry', None, 'analysis', None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/29318305,2018,,,,,
29215100,"Dietary salt is a vital ingredient associated with sensory performance in processed foods, while reduced salt intake linked to public health is highly desired by consumers and food manufacturers. In this paper, quillaja saponin (QS) based hollow salt particles (∼10 μm) were fabricated by simple spray drying, and utilized as solid carriers to enhance sensory aromas with reduced sodium intake. QS-coated nanodroplets were firstly prepared as a reservoir for flavor oils (lemon and garlic oil), and then served as frameworks to construct hollow salt particles via general spray drying. Headspace gas chromatography-mass spectrometry (DHS-GC-MS) and panel sensory analysis conclude that the hollow salt particles loaded with flavor oils enhance typical aroma attributes and saltiness perception in comparison with their mixture control. The QS-based hollow salt particles could be developed into novel vehicles for improving flavor performance with reduced sodium intake, and furthermore used for delivery of hydrophobic bioactives in food systems.",Food & function,"['D000293', 'D000328', 'D005260', 'D005421', 'D005503', 'D006801', 'D008297', 'D031990', 'D062605', 'D017673', 'D013649', 'D055815']","['Adolescent', 'Adult', 'Female', 'Flavoring Agents', 'Food Additives', 'Humans', 'Male', 'Quillaja', 'Quillaja Saponins', 'Sodium Chloride, Dietary', 'Taste', 'Young Adult']",Quillaja saponin-based hollow salt particles as solid carriers for enhancing sensory aroma with reduced sodium intake.,"[None, None, None, 'Q000737', 'Q000737', None, None, 'Q000737', 'Q000737', 'Q000032', None, None]","[None, None, None, 'chemistry', 'chemistry', None, None, 'chemistry', 'chemistry', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/29215100,2018,0.0,0.0,,,
29181754,"Green and nanoacaricides including essential oil (EO) nanoemulsions are important compounds to provide new, active, safe acaricides and lead to improvement of avoiding the risk of synthetic acaricides. This study was carried out for the first time on eriophyid mites to develop nanoemulsion of garlic essential oil by ultrasonic emulsification and evaluate its acaricidal activity against the two eriophyid olive mites Aceria oleae Nalepa and Tegolophus hassani (Keifer). Acute toxicity of nanoemulsion was also studied on male rats. Garlic EO was analyzed by gas chromatography-mass spectrometry (GC-MS), and the major compounds were diallyl sulfide (8.6%), diallyl disulfide (28.36%), dimethyl tetrasulfide (15.26%), trisulfide,di-2-propenyl (10.41%), and tetrasulfide,di-2-propenyl (9.67%). Garlic oil nanoemulsion with droplet size 93.4 nm was formulated by ultrasonic emulsification for 35 min. Emulsification time and oil and surfactant ratio correlated to the emulsion droplet size and stability. The formulated nanoemulsion showed high acaricidal activity against injurious eriophyid mites with LC",Environmental science and pollution research international,[],[],Formulation and characterization of garlic (Allium sativum L.) essential oil nanoemulsion and its acaricidal activity on eriophyid olive mites (Acari: Eriophyidae).,[],[],https://www.ncbi.nlm.nih.gov/pubmed/29181754,2018,0.0,0.0,,,
29108412,Structures and formation pathways of compounds responsible for blue-green discoloration of processed garlic were studied in model systems. A procedure was developed for isolation of the color compounds and their tentative identification by high-performance liquid chromatography coupled to a diode array detector and tandem mass spectrometry. It was found that the pigment is a mixture of numerous pyrrole-based purple/blue and yellow species. Experiments with isotope-labeled precursors revealed that two molecules of an amino acid are involved in the formation of each color compound. In the purple/blue species (λ,Journal of agricultural and food chemistry,"['D000596', 'D002851', 'D003116', 'D005511', 'D005737', 'D015394', 'D010860', 'D053719']","['Amino Acids', 'Chromatography, High Pressure Liquid', 'Color', 'Food Handling', 'Garlic', 'Molecular Structure', 'Pigments, Biological', 'Tandem Mass Spectrometry']",Allium Discoloration: Color Compounds Formed during Greening of Processed Garlic.,"['Q000737', None, None, None, 'Q000737', None, 'Q000737', None]","['chemistry', None, None, None, 'chemistry', None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/29108412,2018,0.0,0.0,,,
28965409,"Aroma extract dilution analysis of distillates prepared by solvent extraction and solvent-assisted flavor evaporation distillation from white Alba truffle (WAT; Tuber magnatum pico) and Burgundy truffle (BT; Tuber uncinatum) revealed 20 odor-active regions in the flavor dilution (FD) factor range of 16-4096 in WAT and 25 in BT. The identification experiments in combination with the FD factors showed clear differences in the overall set of key odorants of both fungi. While 3-(methylthio)propanal (potato-like) followed by 2- and 3-methylbutanal (malty), 2,3-butanedione (buttery), and bis(methylthio)methane (garlic-like) showed the highest FD factors in WAT, 2,3-butanedione, phenylacetic acid (honey-like), and vanillin (vanilla-like) had the highest FD factors in BT. Odor activity values (OAVs, ratio of concentration to odor thresholds), which were calculated on the basis of quantitative data obtained by stable isotope dilution assays, of >1000 for bis(methylthio)methane, 3-methylbutanal, and 3,4-dihydro-2-(H)pyrrol (1-pyrroline) revealed they are key contributors to the aroma of WAT. In BT, 1-pyrroline and 2,3-butanedione showed the highest OAVs of 1530 and 1130, respectively. Aroma recombination experiments successfully mimicked the overall aroma profiles of both fungi when all odorants showing OAVs of >1 were combined. Omission experiments confirmed the amine-like and sperm-like smell of 1-pyrroline, identified for the first time as a key odorant in both truffle species.",Journal of agricultural and food chemistry,"['D001203', 'D005421', 'D008401', 'D006801', 'D009812', 'D012903', 'D055549']","['Ascomycota', 'Flavoring Agents', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Odorants', 'Smell', 'Volatile Organic Compounds']",Characterization of the Key Aroma Compounds in White Alba Truffle (Tuber magnatum pico) and Burgundy Truffle (Tuber uncinatum) by Means of the Sensomics Approach.,"['Q000737', 'Q000737', None, None, 'Q000032', None, 'Q000737']","['chemistry', 'chemistry', None, None, 'analysis', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28965409,2017,0.0,0.0,,,
