NDB_No,food_name,food_group,NDB_No_new,Nutr_No_new,Nutr_No,nut_name,nut_desc,chem_id,unit,Nutr_Val,Num_Data_Pts,Std_Error,Src_Cd,Deriv_Cd,Ref_NDB_No,Add_Nutr_Mark,Num_Studies,Min,Max,DF,Low_EB,Up_EB,Stat_Cmt,food_name_short,Src_Des,AddMod_Date,flav_file_type,flav_class
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,0,203,PROCNT,Protein,2,g,6.36,8,0.203,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,1,204,FAT,Total lipid (fat),1,g,0.5,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,2,205,CHOCDF,"Carbohydrate, by difference",3,g,33.06,0,,4,NC,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,3,207,ASH,Ash,3513,g,1.5,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,4,208,ENERC_KCAL,Energy,,kcal,149,0,,4,NC,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,11,221,ALC,"Alcohol, ethyl",4858,g,0,0,,7,,,,,,,,,,,"GARLIC,RAW",Assumed zero,Apr-85,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,12,255,WATER,Water,13393,g,58.58,8,0.432,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,14,262,CAFFN,Caffeine,2100,mg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Oct-02,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,15,263,THEBRN,Theobromine,455,mg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Oct-02,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,16,268,ENERC_KJ,Energy,,kJ,623,0,,4,NC,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,17,269,SUGAR,"Sugars, total",1131,g,1,0,,4,T,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Apr-03,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,19,291,FIBTG,"Fiber, total dietary",5,g,2.1,0,,4,,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,20,301,CA,"Calcium, Ca",3514,mg,181,8,25.131,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,21,303,FE,"Iron, Fe",16258,mg,1.7,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,22,304,MG,"Magnesium, Mg",3519,mg,25,8,1.049,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,23,305,P,"Phosphorus, P",3521,mg,153,8,7.945,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,24,306,K,"Potassium, K",3522,mg,401,8,25.544,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,25,307,,"Sodium, Na",3524,mg,17,8,1.183,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,26,309,ZN,"Zinc, Zn",3730,mg,1.16,0,,4,,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,27,312,CU,"Copper, Cu",3583,mg,0.299,0,,4,,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,29,315,MN,"Manganese, Mn",3637,mg,1.672,0,,4,,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,30,317,SE,"Selenium, Se",13403,åµg,14.2,5,3.198,1,A,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Dec-92,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,31,318,VITA_IU,"Vitamin A, IU",13831,IU,9,0,,4,NC,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,32,319,RETOL,Retinol,10850,åµg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Jun-02,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,33,320,VITA_RAE,"Vitamin A, RAE",13831,åµg,0,0,,4,NC,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,34,321,CARTB,"Carotene, beta",14616,åµg,5,0,,4,BFSN,11282,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,35,322,CARTA,"Carotene, alpha",13719,åµg,0,0,,4,BFSN,11282,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,36,323,TOCPHA,Vitamin E (alpha-tocopherol),565,mg,0.08,0,,4,BFSN,11282,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
